Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9736842105263158,0.9940476190476191,0.9726027397260274,0.9861111111111112,0.9793103448275863,0.9433397594898876
Decision Tree,0.9649122807017544,0.9672619047619048,0.9857142857142858,0.9583333333333334,0.971830985915493,0.9259891667402068
kNN,0.9736842105263158,0.9973544973544973,0.9726027397260274,0.9861111111111112,0.9793103448275863,0.9433397594898876
Naive Bayes,0.956140350877193,0.9933862433862435,0.971830985915493,0.9583333333333334,0.965034965034965,0.9063785942932301
Random Forest,0.9649122807017544,0.9976851851851851,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9246031746031746
XGBoost,0.9912280701754386,1.0,1.0,0.9861111111111112,0.993006993006993,0.9814164735593364
